IdOpinion,IdCliente,IdProducto,Fecha,Comentario,Clasificacion,PuntajeSatisfaccion,Fuente
42,9881,851,2025-06-13,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
43,7334,376,2025-01-17,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
44,1287,46,2025-01-21,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
45,6817,323,2025-01-12,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
46,2399,618,2025-05-17,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
47,7073,122,2025-03-26,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
48,1781,184,2025-08-06,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
49,3209,290,2025-08-25,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
50,5704,991,2025-09-07,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
51,7496,889,2025-04-15,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
52,8078,917,2024-10-25,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
53,1574,779,2024-09-25,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
54,9647,768,2024-11-10,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
55,3032,856,2025-01-06,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
56,122,378,2025-08-09,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
57,9945,207,2025-09-03,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
58,8267,917,2025-08-05,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
59,7131,149,2025-06-20,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
60,8691,962,2025-05-19,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
61,9807,632,2024-10-08,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
62,9194,909,2025-02-23,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
63,5358,79,2024-11-30,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
64,3632,82,2025-06-06,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
65,6367,635,2025-01-02,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
66,5529,889,2024-12-10,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
67,84,317,2025-04-23,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
68,2371,115,2025-07-02,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
69,2560,933,2025-08-08,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
70,208,462,2024-12-06,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
71,7885,717,2025-08-15,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
72,7614,609,2025-07-07,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
73,6509,455,2024-11-29,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
74,1488,637,2024-10-08,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
75,8128,503,2025-03-21,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
76,2657,753,2024-11-09,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
77,8303,236,2024-10-24,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
78,8796,791,2024-11-02,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
79,8093,421,2025-03-05,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
80,5311,112,2025-05-28,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
81,4143,446,2025-08-13,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
82,8005,627,2025-08-20,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
83,705,48,2024-09-15,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
84,3792,337,2025-01-03,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
85,8455,749,2024-10-14,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
86,5177,672,2025-01-08,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
87,5361,774,2024-11-04,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
88,6865,864,2024-12-26,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
89,9351,971,2025-04-27,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
90,4621,570,2025-08-04,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
91,3552,136,2024-11-30,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
92,1315,85,2025-07-28,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
93,4734,152,2024-11-15,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
94,7080,801,2025-06-11,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
95,5688,725,2025-04-23,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
96,5127,332,2025-03-09,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
97,4002,697,2025-02-03,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
98,8606,153,2025-03-01,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
99,677,285,2025-03-05,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
100,4532,970,2025-08-28,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
101,850,710,2024-10-22,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
102,9156,443,2025-07-21,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
103,5397,672,2024-11-23,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
104,8901,929,2024-12-15,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
105,8473,87,2025-02-13,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
106,2046,565,2025-07-17,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
107,9046,377,2025-02-02,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
108,3398,530,2024-12-02,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
109,2410,266,2025-01-30,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
110,927,539,2024-10-25,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
111,4701,443,2025-09-03,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
112,274,693,2025-04-12,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
113,6821,540,2024-09-21,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
114,2309,771,2025-09-09,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
115,1558,644,2024-10-30,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
116,2057,76,2025-08-23,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
117,5784,703,2025-04-05,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
118,9843,560,2024-12-07,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
119,9485,893,2024-11-25,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
120,4194,46,2025-02-02,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
121,5543,548,2025-03-18,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
122,1108,747,2025-07-25,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
123,3355,852,2025-03-22,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
124,382,131,2024-12-19,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
125,3491,875,2024-11-06,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
126,1780,909,2025-04-23,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
127,1267,425,2025-03-06,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
128,7340,940,2025-05-29,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
129,8434,704,2025-05-24,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
130,8234,980,2025-07-01,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
131,4262,655,2024-12-19,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
132,5829,364,2025-04-29,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
133,1866,649,2025-01-12,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
134,8608,572,2025-08-27,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
135,8293,197,2025-07-23,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
136,6248,70,2025-03-19,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
137,4600,869,2025-06-01,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
138,8720,157,2025-03-18,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
139,9715,889,2025-08-29,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
140,821,637,2025-06-05,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
141,2439,779,2024-11-14,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
142,1339,274,2025-01-03,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
143,7504,454,2025-04-04,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
144,8142,522,2025-07-18,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
145,378,604,2024-12-31,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
146,4941,909,2024-10-18,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
147,8162,201,2025-05-08,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
148,8492,570,2025-02-04,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
149,1115,821,2025-01-24,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
150,7991,889,2025-08-21,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
151,6542,483,2025-08-09,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
152,2335,783,2025-07-29,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
153,947,467,2025-04-17,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
154,8582,978,2024-10-30,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
155,7282,857,2025-09-10,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
156,1896,430,2025-02-21,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
157,8328,735,2024-12-28,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
158,283,87,2025-06-03,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
159,930,146,2025-08-10,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
160,826,644,2025-02-24,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
161,6587,919,2025-01-16,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
162,804,487,2025-07-02,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
163,7129,61,2024-10-27,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
164,6238,565,2025-04-16,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
165,1527,884,2025-02-03,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
166,2313,215,2025-03-16,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
167,6680,126,2024-10-23,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
168,9909,139,2025-02-12,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
169,5304,705,2025-05-11,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
170,7079,469,2025-09-12,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
171,522,993,2025-09-10,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
172,1214,538,2025-06-16,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
173,6999,486,2025-05-16,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
174,2494,10,2025-06-27,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
175,3525,703,2025-06-23,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
176,868,386,2025-09-12,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
177,2057,523,2025-04-28,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
178,2231,891,2024-11-09,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
179,4815,716,2025-08-26,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
180,4365,44,2024-11-25,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
181,4496,666,2025-03-19,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
182,3043,378,2025-08-13,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
183,8847,55,2025-03-28,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
184,9376,930,2024-11-09,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
185,8809,277,2024-11-12,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
186,3995,466,2025-06-17,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
187,2988,777,2025-02-09,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
188,5113,215,2025-01-24,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
189,9685,280,2024-09-30,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
190,7211,965,2024-11-22,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
191,4519,617,2025-07-08,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
192,8124,360,2024-11-13,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
193,2029,429,2024-10-12,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
194,4465,990,2025-03-12,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
195,3986,563,2025-09-09,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
196,1169,602,2025-03-09,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
197,878,130,2025-03-11,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
198,3335,906,2025-05-11,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
199,2896,736,2025-04-01,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
200,6568,38,2024-09-22,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
201,7719,104,2024-12-03,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
202,9918,459,2025-07-13,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
203,205,967,2025-06-14,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
204,9617,828,2025-05-18,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
205,9251,698,2025-05-30,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
206,190,148,2025-03-08,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
207,3773,408,2025-03-11,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
208,791,420,2025-02-10,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
209,9539,338,2025-02-05,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
210,5775,936,2024-12-27,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
211,3916,672,2025-03-09,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
212,713,390,2025-06-01,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
213,8057,92,2025-06-23,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
214,7560,346,2024-12-04,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
215,9516,289,2025-02-11,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
216,7297,596,2024-09-22,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
217,4943,179,2024-10-14,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
218,6610,608,2025-02-22,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
219,5644,610,2025-04-24,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
220,3455,37,2025-07-27,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
221,353,124,2025-01-01,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
222,8237,959,2025-04-26,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
223,6003,957,2025-07-11,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
224,1751,178,2024-11-30,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
225,9563,997,2024-10-30,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
226,6342,639,2024-11-20,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
227,8241,541,2024-09-25,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
228,7725,301,2024-10-16,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
229,4623,224,2025-04-18,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
230,1044,285,2025-02-09,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
231,6845,474,2024-12-03,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
232,8266,750,2024-11-07,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
233,1677,547,2025-05-26,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
234,3394,724,2024-10-16,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
235,5975,159,2024-09-24,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
236,3054,824,2025-07-18,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
237,9957,487,2025-05-08,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
238,2898,426,2025-01-02,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
239,8280,407,2024-12-17,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
240,9018,297,2024-11-18,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
241,8962,946,2025-01-26,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
242,4348,629,2025-08-03,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
243,5667,260,2025-06-08,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
244,4864,16,2025-08-29,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
245,1276,602,2025-05-01,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
246,5468,823,2025-09-01,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
247,3652,367,2024-12-03,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
248,9828,553,2025-02-27,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
249,7602,312,2024-12-19,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
250,3806,211,2025-08-23,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
251,8038,339,2025-01-23,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
252,1474,727,2025-07-02,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
253,9142,19,2025-04-04,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
254,184,480,2025-02-04,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
255,9804,538,2025-08-25,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
256,6015,526,2024-11-03,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
257,7503,88,2025-02-10,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
258,5376,332,2025-07-08,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
259,1649,20,2025-01-24,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
260,2106,484,2024-12-15,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
261,1656,330,2025-04-05,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
262,1138,40,2025-01-09,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
263,3673,413,2024-11-29,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
264,7140,539,2024-12-08,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
